Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,team,Ht,Wt,Exp,PER,TS%,3PAr,AST%,STL%,BLK%,TOV%,USG%,OWS,WS,WS/48,BPM,OBPM,VORP,TRB%
Frank Brickowski,C,34,43,40,33.5,5.8,12.1,.482,0.1,0.4,.167,5.8,11.7,.493,.485,3.4,4.4,.775,1.2,5.3,6.5,3.8,1.2,0.4,2.9,3.8,15.2,1994/1995,MIL,6-9,240,9,14.7,.540,.035,19.1,1.8,0.7,17.1,21.9,0.8,1.9,.065,-1.3,-1.1,0.2,11.1
Frank Brickowski,C,34,28,6,23.3,4.2,8.3,.502,0.0,0.1,.500,4.1,8.3,.502,.504,1.7,2.3,.746,1.1,3.3,4.5,2.0,1.0,0.4,2.0,2.8,10.1,1994/1995,CHH,6-9,240,9,13.4,.541,.009,13.0,2.1,1.0,17.7,20.7,0.2,0.7,.055,-1.8,-1.8,0.0,10.6
Kevin Brooks,SF,24,34,0,5.6,1.1,2.9,.364,0.1,0.7,.174,0.9,2.2,.421,.384,0.3,0.3,.900,0.1,0.5,0.6,0.1,0.0,0.1,0.4,0.6,2.5,1994/1995,DEN,6-6,200,2,5.3,.411,.232,2.6,0.0,0.7,10.4,25.9,-0.4,-0.2,-0.062,-9.6,-6.0,-0.4,6.1
Scott Brooks,PG,28,73,0,16.8,1.9,4.0,.491,0.3,0.8,.377,1.6,3.1,.522,.531,1.0,1.2,.871,0.1,1.3,1.4,2.0,0.7,0.0,0.8,1.3,5.2,1994/1995,HOU,5-11,165,5,12.2,.584,.211,17.6,2.1,0.1,14.4,13.8,1.8,3.3,.131,-0.1,-1.6,0.6,4.6
Chucky Brown,SF,25,1,0,10.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1994/1995,DAL,6-7,214,4,10.8,1.042,.000,0.0,0.0,0.0,0.0,6.1,0.0,0.0,.183,-0.9,-0.8,0.0,5.6
Dee Brown,SG,25,77,76,37.2,6.4,13.3,.480,0.4,1.2,.313,6.0,12.0,.497,.495,2.4,2.8,.831,0.8,3.1,3.9,4.5,2.0,0.6,1.6,2.7,15.5,1994/1995,BOS,6-1,160,3,16.0,.533,.094,18.2,2.7,1.0,10.1,18.8,4.1,6.4,.108,1.5,0.4,2.5,5.9
Mike Brown,C,30,82,40,23.4,1.4,3.2,.427,0.0,0.0,.000,1.4,3.1,.430,.427,0.9,1.4,.653,1.5,4.0,5.5,0.9,0.6,0.4,0.9,2.7,3.6,1994/1995,MIN,6-9,257,7,7.2,.479,.008,5.4,1.3,1.0,19.4,8.8,0.0,1.5,.038,-3.4,-3.6,-0.7,13.6
P.J. Brown,C,24,79,54,24.7,2.1,5.1,.415,0.0,0.1,.167,2.1,5.0,.419,.417,1.5,1.9,.757,2.4,3.9,6.2,1.2,0.9,1.2,0.9,2.2,5.7,1994/1995,NJN,6-11,225,R,12.2,.480,.015,6.7,1.8,3.0,13.3,11.7,1.4,4.2,.105,0.1,-1.5,1.0,13.3
Randy Brown,PG,25,61,2,17.1,1.8,4.1,.438,0.0,0.1,.000,1.8,4.0,.445,.438,0.9,1.4,.609,0.7,1.2,1.8,2.2,1.0,0.2,1.2,2.2,4.5,1994/1995,SAC,6-2,190,2,9.3,.472,.016,18.3,3.0,0.9,20.6,14.8,-0.4,0.4,.017,-3.0,-4.0,-0.3,5.9
Mark Bryant,C,28,79,10,18.2,2.3,4.9,.482,0.0,0.0,.000,2.3,4.8,.483,.482,0.9,1.3,.692,1.5,2.5,4.0,0.5,0.4,0.4,0.8,2.4,5.6,1994/1995,POR,6-9,245,5,9.9,.514,.003,3.5,1.1,1.3,13.3,14.0,0.9,2.3,.076,-3.6,-3.2,-0.6,11.9
