Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Chris Gatling,C,26,GSW,82,23,15.8,3.3,5.6,.588,0.0,0.0,.000,3.3,5.6,.589,.588,1.6,2.5,.620,1.7,3.1,4.8,0.5,0.5,0.8,1.0,2.7,8.2,1994/1995
Kenny Gattison,PF,29,CHH,77,18,21.4,3.0,5.8,.524,0.0,0.0,,3.0,5.8,.524,.524,1.6,2.5,.646,1.4,3.3,4.6,1.2,0.8,0.6,1.0,3.0,7.7,1994/1995
Andrew Gaze,SG,28,WSB,7,0,10.0,1.1,2.4,.471,0.6,1.1,.500,0.6,1.3,.444,.588,0.3,0.3,1.000,0.1,0.9,1.0,0.7,0.3,0.1,0.4,1.3,3.1,1994/1995
Matt Geiger,C,24,MIA,72,0,16.7,2.8,4.9,.574,0.0,0.1,.200,2.8,4.8,.579,.575,1.6,2.1,.779,1.7,2.6,4.2,0.4,0.5,0.4,0.8,2.8,7.2,1994/1995
Kendall Gill,SG,25,SEA,79,77,30.8,5.4,12.3,.443,0.5,1.5,.317,4.9,10.7,.461,.462,2.7,3.5,.782,1.2,2.2,3.4,3.5,1.9,0.4,1.8,2.5,14.1,1994/1995
Armen Gilliam,PF,29,NJN,82,5,24.0,4.2,8.3,.510,0.0,0.0,.000,4.2,8.3,.511,.510,3.3,4.4,.759,2.4,3.7,6.1,0.8,0.5,0.7,1.3,1.6,11.8,1994/1995
Mike Gminski,C,34,TOT,29,7,10.7,1.2,3.6,.350,0.0,0.0,,1.2,3.6,.350,.350,0.5,0.6,.778,0.8,1.8,2.6,0.4,0.4,0.6,0.4,0.8,3.0,1994/1995
Mike Gminski,C,34,CHH,21,6,12.1,1.5,3.8,.392,0.0,0.0,,1.5,3.8,.392,.392,0.5,0.7,.786,0.9,1.9,2.8,0.5,0.6,0.6,0.5,1.0,3.5,1994/1995
Mike Gminski,C,34,MIL,8,1,6.8,0.6,3.0,.208,0.0,0.0,,0.6,3.0,.208,.208,0.4,0.5,.750,0.4,1.5,1.9,0.0,0.0,0.4,0.3,0.4,1.6,1994/1995
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1994/1995
Ricky Grace,PG,26,ATL,3,0,2.7,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.0,0.7,.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.3,1994/1995
